host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	comment
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	0	13.786308	148.487272	0.42052	1.9639921899	0.001	0.893780000038	0.3793	2.11723997498	0.8985	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	1	162.275034	144.181517	0.578620000019	1.47342897148	0.001	0.953440000019	0.5157	1.76275228806	0.9338	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	2	306.457864	144.289682	0.659580000019	1.23188997608	0.001	0.971259999981	0.6082	1.41918952675	0.9577	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	3	450.749215	144.261939	0.713640000114	1.07262560768	0.001	0.979440000019	0.6488	1.28715872593	0.9724	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	4	595.012407	144.143272	0.742900000019	0.981918498306	0.001	0.982900000038	0.6399	1.43587443275	0.9408	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	5	739.157045	144.295624	0.766220000095	0.905519022465	0.001	0.985939999962	0.6525	1.42919439468	0.9443	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	6	883.454097	144.06993	0.784800000019	0.847983927536	0.001	0.98768	0.6865	1.20023465691	0.976	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	7	1027.525534	144.223408	0.801239999943	0.799852916889	0.001	0.988860000038	0.7394	0.993084299469	0.9848	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	8	1171.750269	144.182828	0.80902	0.762164744015	0.001	0.991	0.7199	1.10842862873	0.9765	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.750538	50000	10000	1.	20180424:071102	20180424:073522	9	1315.934646	144.173506	0.818720000153	0.73295420023	0.001	0.99106	0.7261	1.0939060029	0.9777	n_gpus=1,data_augmentation=True,scratchspace=/home/steinbac/deeprace/scripts/gce,version=1,batch_size=128,num_classes=10,epochs=10,subtract_pixel_mean=True,backend=keras,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.727316	50000	10000	1.	20180424:093022	20180424:095443	0	13.947245	148.805609	0.39219999999	2.04567459278	0.001	0.877199999962	0.4498	1.80473642139	0.9212	subtract_pixel_mean=True,n_gpus=1,num_classes=10,version=1,epochs=10,checkpoint_epochs=False,scratchspace=/home/steinbac/deeprace/scripts/gce,n=9,backend=keras,batch_size=128,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.727316	50000	10000	1.	20180424:093022	20180424:095443	1	162.754482	144.405714	0.55124000001	1.53239092258	0.001	0.945839999981	0.4994	1.81134268475	0.9297	subtract_pixel_mean=True,n_gpus=1,num_classes=10,version=1,epochs=10,checkpoint_epochs=False,scratchspace=/home/steinbac/deeprace/scripts/gce,n=9,backend=keras,batch_size=128,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.727316	50000	10000	1.	20180424:093022	20180424:095443	2	307.161979	144.27011	0.64396	1.26433323185	0.001	0.968019999943	0.5315	1.75206653748	0.9378	subtract_pixel_mean=True,n_gpus=1,num_classes=10,version=1,epochs=10,checkpoint_epochs=False,scratchspace=/home/steinbac/deeprace/scripts/gce,n=9,backend=keras,batch_size=128,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.727316	50000	10000	1.	20180424:093022	20180424:095443	3	451.433564	144.328795	0.707820000076	1.0814923143	0.001	0.977499999962	0.6903	1.14329949684	0.9711	subtract_pixel_mean=True,n_gpus=1,num_classes=10,version=1,epochs=10,checkpoint_epochs=False,scratchspace=/home/steinbac/deeprace/scripts/gce,n=9,backend=keras,batch_size=128,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
instance-1	resnet56v1	cifar10	2.727316	50000	10000	1.	20180424:093022	20180424:095443	4	595.764009	144.342477	0.740960000038	0.976173474884	0.001	0.983020000038	0.6585	1.25008638611	0.9627	subtract_pixel_mean=True,n_gpus=1,num_classes=10,version=1,epochs=10,checkpoint_epochs=False,scratchspace=/home/steinbac/deeprace/scripts/gce,n=9,backend=keras,batch_size=128,data_augmentation=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:gce,singularity:gce
