host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	top_k_catacc	val_top_k_catacc	opts	n_model_params	versions	comment
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	0	2.764572	122.328045	17.382843007469177	0.47226	1.4054052111625672	0.5812	0.91294	0.9491	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	1	125.09457	119.134806	43.13630161502838	0.64768	1.2280560940742493	0.6567	0.96544	0.9681	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	2	244.23136	118.774752	63.95411434020996	0.70344	1.1719375900268554	0.6721	0.97522	0.9601	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	3	363.008384	119.170092	53.37542787385941	0.73848	1.1289638404846192	0.6916	0.98062	0.9766	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	4	482.180232	119.003735	69.03948104314804	0.76422	1.1798274785995484	0.6858	0.98478	0.9601	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	5	601.185774	119.385166	21.81175623609543	0.77998	1.0826625341176987	0.7194	0.98688	0.9721	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	6	720.572891	119.26346	42.74965473863602	0.79222	1.068216088294983	0.7123	0.98756	0.9849	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	7	839.838526	119.687226	26.989984400291444	0.8014	0.9349927971839905	0.7617	0.98948	0.9806	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	8	959.528114	119.566183	0.7549130249214172	0.81314	0.8519246114730835	0.7814	0.98992	0.9881	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
63a1166819aa	resnet32v1	cifar10	4.209471	50000	10000	1.	20180417:112042	20180417:115039	9	1079.096288	119.125397	32.18444044843674	0.82266	0.8969449025154114	0.7746	0.99136	0.9851	num_classes=10,subtract_pixel_mean=True,version=1,batch_size=32,checkpoint_epochs=False,n=5,scratchspace=/deeprace,epochs=15,data_augmentation=True,n_gpus=1	470218	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1,batch_size=32
