host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	comment
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	0	4.999184	215.090112	0.464	43.76598861274719	0.001	0.91162	0.4	2.5837687076568603	0.8757	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	1	220.091667	209.517961	0.62818	253.0100973044586	0.001	0.96332	0.5851	1.4886606309890746	0.9648	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	2	429.612686	209.64029	0.69416	168.9220818883133	0.001	0.97564	0.6282	1.5499047397613526	0.9505	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	3	639.256164	210.194107	0.73576	357.54498124485013	0.001	0.98118	0.7276	1.0753748092651367	0.9789	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	4	849.453234	209.527906	0.75812	168.73777354305267	0.001	0.98432	0.7202	1.253146196937561	0.9765	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	5	1058.983991	212.087103	0.78	504.2227248324585	0.001	0.98712	0.7022	1.2033162380218505	0.9762	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	6	1271.072976	209.919376	0.79074	336.4031545491791	0.001	0.98756	0.5556	1.9091896509170532	0.8939	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	7	1480.995215	212.539959	0.80396	315.41724530490876	0.001	0.98974	0.6712	1.2830009454727174	0.9764	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	8	1693.538253	210.584078	0.8135	504.1005697725296	0.001	0.99048	0.7504	1.0190184370040893	0.9767	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
afff31e83ee6	resnet56v1	cifar10	33.685923	50000	10000	1.	20180424:013838	20180424:021352	9	1904.125472	209.479395	0.82292	189.5027250661087	0.001	0.99158	0.7148	1.1708143146514893	0.9772	version=1,num_classes=10,checkpoint_epochs=False,data_augmentation=True,backend=keras,batch_size=64,epochs=10,n=9,n_gpus=1,scratchspace=/deeprace,subtract_pixel_mean=True	861770	keras:2.1.5,backend:tensorflow:1.3.0	docker,mi25:1
