host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	0	4.735206	53.91706	0.41534	1.978064718093872	0.001	0.8877599999618531	0.3594	2.4171867431640623	0.8569	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	1	58.655271	47.983936	0.590160000038147	1.4425885442352295	0.001	0.9555800000190735	0.5817	1.5181261396408081	0.9408	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	2	106.642301	47.974725	0.6678199999809266	1.2111416851043701	0.001	0.970039999961853	0.4997	1.9902795486450195	0.9339	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	3	154.620111	47.883656	0.717560000038147	1.0650797968292236	0.001	0.9796200000190735	0.6022	1.5433047369003297	0.9339	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	4	202.506688	47.908609	0.746579999961853	0.9659853119468689	0.001	0.982880000038147	0.4958	2.2909613792419434	0.9303	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	5	250.418366	47.924924	0.7705600000190734	0.8947913979148865	0.001	0.9848200000190734	0.7327	1.0074196939468383	0.981	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	6	298.346452	48.066872	0.784340000038147	0.840305171508789	0.001	0.987880000038147	0.6424	1.447883452987671	0.9385	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	7	346.416134	47.799677	0.8008399999809265	0.7920398325920105	0.001	0.9895600000381469	0.7633	0.9026867875099183	0.9873	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	8	394.218819	47.859446	0.8126199999809265	0.7545690414237977	0.001	0.99038	0.7059	1.1491293004989624	0.9758	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.189399	50000	10000	1.	20180511:055854	20180511:060704	9	442.081241	48.060625	0.823539999961853	0.7181871818351746	0.001	0.9920800000190735	0.7398	0.9855952569961548	0.9821	scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras,n_gpus=1,data_augmentation=True,backend=keras,num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,n=9,batch_size=128,version=1,epochs=10	861770	keras:2.1.5,backend:tensorflow:1.7.0	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
