host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	deeprace_version	comment
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	0	4.522663	318.267217	0.47924	1.7701687831306459	0.001	0.91288	0.4971	1.772646045589447	0.9211	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	1	322.792541	311.896751	0.6416	1.3044994057655335	0.001	0.9635	0.611	1.4089747886657715	0.9666	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	2	634.691243	310.614235	0.69944	1.13533550945282	0.001	0.97416	0.6818	1.2184772068023682	0.9757	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	3	945.307398	309.905087	0.73766	1.027642294692993	0.001	0.98008	0.7126	1.1261820694446563	0.9797	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	4	1255.214353	309.419132	0.76134	0.9592463722133636	0.001	0.98342	0.6811	1.2077303500652312	0.9693	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	5	1564.634814	308.280984	0.77898	0.9059481438350677	0.001	0.98602	0.7679	0.9709753536701202	0.9847	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	6	1872.917611	308.157503	0.79152	0.8677052264118195	0.001	0.98754	0.7478	0.9954589905738831	0.9843	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	7	2181.076546	308.424036	0.80482	0.8289914451885223	0.001	0.98824	0.7503	1.0063251658916474	0.9834	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	8	2489.502484	309.183302	0.81312	0.8016588177680969	0.001	0.98916	0.7716	0.9615035883426666	0.9802	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
talisker-10g	resnet56v1	cifar10	0.184595	50000	10000	1.	20180510:182823	20180510:192010	9	2798.687316	309.122088	0.82168	0.7776498793315888	0.001	0.99012	0.7257	1.1701644709587098	0.9626	num_classes=10,checkpoint_epochs=False,subtract_pixel_mean=True,epochs=10,batch_size=16,version=1,n=9,data_augmentation=True,backend=tf.keras,n_gpus=1,scratchspace=/deeprace/scripts/frameworks/keras-vs-tf.keras	861770	tensorflow:1.7.0,tf.keras:2.1.4-tf	0.2.0+58.gd4207e4.dirty	titanx:1,singularity,pinned
