host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	comment
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	0	11.253827	96.314695	0.45416	1.84700113457	0.001	0.90608	0.4402	2.15011893463	0.9135	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	1	107.570509	92.709004	0.62288	1.36251894833	0.001	0.96146	0.5744	1.55641557159	0.9636	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	2	200.281715	92.179311	0.6997	1.14348172043	0.001	0.97448	0.6201	1.45968410797	0.9563	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	3	292.463269	92.45508	0.73766	1.01483969784	0.001	0.98194	0.6204	1.48851358585	0.9505	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	4	384.920472	93.094699	0.76434	0.935247115173	0.001	0.98548	0.7135	1.12097288017	0.9675	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	5	478.017912	93.243352	0.78194	0.880442574005	0.001	0.9864	0.74	1.04867781773	0.9754	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	6	571.263535	92.341499	0.79644	0.837717575073	0.001	0.98848	0.7314	1.04556466503	0.9802	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	7	663.607371	92.3006	0.80644	0.80090256134	0.001	0.98992	0.6692	1.31994284115	0.9714	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	8	755.910585	92.56777	0.8161	0.771764519176	0.001	0.99098	0.705	1.23705258141	0.9484	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
talisker-10g	resnet56v1	cifar10	2.264985	50000	10000	1.	20180424:173806	20180424:175347	9	848.480532	92.925491	0.82292	0.746738227711	0.001	0.9913	0.5792	1.82956793442	0.9464	n=9,checkpoint_epochs=False,data_augmentation=True,scratchspace=/home/steinbac,backend=keras,num_classes=10,epochs=10,subtract_pixel_mean=True,version=1,batch_size=64,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	titanx-pascal:1,fs:nfs,singularity:lustre
