host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	top_k_catacc	val_top_k_catacc	opts	n_model_params	versions	comment
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	0	6.704796	142.506118	1.5863115759277344	0.49466	1.3447254972457885	0.597	0.92322	0.9507	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	1	149.21194	139.286259	1.1810815113830566	0.64844	1.4143697700500488	0.6202	0.96592	0.9256	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	2	288.499869	139.147637	1.0188576977729797	0.71418	1.1224816423416137	0.6798	0.9767	0.9746	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	3	427.649122	139.235706	0.931902673625946	0.74304	1.564373570251465	0.6168	0.98224	0.9225	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	4	566.88691	139.384656	0.8685899671173096	0.76886	1.04637886428833	0.7232	0.98444	0.9779	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	5	706.273301	139.407436	0.8287818551254272	0.78332	0.8884799457550049	0.7709	0.9876	0.9835	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	6	845.682353	139.361034	0.7912433999633789	0.79498	1.1292971060752868	0.6972	0.98872	0.9769	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	7	985.045069	139.326298	0.7587367067718506	0.80886	0.8150208036422729	0.7977	0.98956	0.9843	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	8	1124.372759	139.384602	0.7413121840476989	0.81522	0.9472940017700195	0.7622	0.99006	0.9878	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2065	resnet32v1	cifar10	6.394534	50000	10000	1.	20180413:182437	20180413:185937	9	1263.759038	139.409625	0.7206485464286804	0.82364	0.9391968384742737	0.7663	0.99056	0.9782	scratchspace=/home/steinba/development/deeprace,num_classes=10,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,n_gpus=1,data_augmentation=True,epochs=15,version=1,n=5	470218	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
