host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	lr	top_k_categorical_accuracy	val_acc	val_loss	val_top_k_categorical_accuracy	opts	n_model_params	versions	comment
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	0	13.452362	94.198559	0.44454	1.85659245743	0.001	0.90242	0.4227	2.18565162277	0.8873	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	1	107.653269	89.46295	0.61314	1.36867935631	0.001	0.96042	0.6291	1.340885079	0.9642	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	2	197.118096	89.222982	0.69134	1.1407305611	0.001	0.97512	0.5227	1.90603927937	0.9449	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	3	286.343199	89.13426	0.73252	1.01337449005	0.001	0.98166	0.6813	1.15045962601	0.9748	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	4	375.479452	88.935509	0.76076	0.925240979805	0.001	0.98508	0.6834	1.19428904591	0.9701	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	5	464.417187	89.554232	0.7814	0.864677384815	0.001	0.98764	0.6997	1.15464612637	0.9706	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	6	553.973577	88.888245	0.79564	0.819172754707	0.001	0.9883	0.7894	0.845388552475	0.9864	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	7	642.86444	88.793659	0.8051	0.786077034798	0.001	0.99036	0.7288	1.01193778343	0.9841	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	8	731.660283	89.980214	0.81708	0.753081971273	0.001	0.99036	0.744	1.03055432148	0.9825	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
taurust1	resnet56v1	cifar10	2.614242	50000	10000	1.	20180424:064904	20180424:070416	9	821.643068	90.212599	0.82518	0.724680661602	0.001	0.99158	0.7612	0.909853464699	0.9857	scratchspace=/home/steinba/development/deeprace/scripts/p100-short,subtract_pixel_mean=True,version=1,num_classes=10,batch_size=64,n=9,backend=keras,epochs=10,checkpoint_epochs=False,data_augmentation=True,n_gpus=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	p100:1,fs:nfs,singularity:lustre
