host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	comment
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	0	1.350652	96.162531	1.5083307433700561	0.49868	1.5932443033218384	0.5135	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	1	97.514123	94.060044	1.1443695385169983	0.64254	1.1879576284408568	0.6525	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	2	191.575113	93.942376	0.991523674583435	0.70112	1.0995564140319825	0.6716	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	3	285.519142	93.90706	0.9077990292930603	0.73798	1.152653108215332	0.6788	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	4	379.427145	93.964468	0.8441636944770813	0.76048	1.1406383135795592	0.6812	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	5	473.392595	93.993379	0.8047158831214904	0.77704	1.2359565287590026	0.6852	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	6	567.386926	93.94884	0.773395817527771	0.79008	0.8696736137390136	0.7675	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	7	661.336711	94.027702	0.7448779088211059	0.80226	0.877236507987976	0.7614	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	8	755.366691	94.017609	0.7217856354141235	0.81144	0.9218896117210388	0.7538	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	9	849.385242	93.97261	0.7078397067642211	0.8165	0.8704741761207581	0.774	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	10	943.3588	94.049381	0.6931324943542481	0.82062	0.9478162309646606	0.748	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	11	1037.410468	94.06583	0.6742544972038269	0.83018	0.8293609581947327	0.7869	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	12	1131.477237	94.007114	0.6661108769226074	0.83332	0.9057764359474182	0.7667	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	13	1225.485295	94.032468	0.6563177293491363	0.8384	0.9495054390907287	0.7648	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.830702	50000	10000	1.0	20180309:085018	20180309:091352	14	1319.519426	94.084501	0.6412556437683106	0.84342	0.9661762351989747	0.7519	version=1,data_augmentation=True,checkpoint_epochs=False,n=3,batch_size=32,num_classes=10,epochs=15,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	0	1.451476	102.037492	1.5111524870300292	0.49766	1.3257579063415528	0.5685	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	1	103.489962	100.121151	1.1448238451385497	0.63972	1.2079044870376587	0.6189	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	2	203.612939	100.43868	1.0027941311836244	0.69888	1.0861376766204833	0.6729	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	3	304.053447	99.340384	0.9024052192306519	0.73722	0.9524070341110229	0.7352	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
taurusi2060	resnet32v1	cifar10	6.83609	50000	10000	1.0	20180309:085019	20180309:091525	4	403.394822	100.462393	0.8436673146724701	0.76132	0.9597853331565857	0.7352	checkpoint_epochs=False,version=1,epochs=15,num_classes=10,batch_size=32,n=3,data_augmentation=True,subtract_pixel_mean=True	k80:1,fs:nfs
