host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	comment
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	0	4.201312	95.938221	1.5008577938461303	0.50136	1.4089750820159912	0.5466	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	1	100.141707	92.799203	1.1077074276733399	0.65492	1.1208256003379822	0.6613	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	2	192.941817	92.88406	0.971169899635315	0.70854	1.1370882942199707	0.6723	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	3	285.827787	92.899235	0.8849081943321228	0.74406	0.8999526494979858	0.7464	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	4	378.729036	92.962334	0.8272844969367981	0.76978	1.0040351263046265	0.7249	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	5	471.692268	92.82784	0.7928511340904236	0.78252	0.9084888848304749	0.7503	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	6	564.521056	92.820922	0.7576980430984497	0.79556	1.0602847410202025	0.7165	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	7	657.342915	92.860898	0.7311356596565246	0.80734	0.8977728141784668	0.7569	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	8	750.205397	92.946127	0.7106552464580536	0.8156	0.8070249969482421	0.7911	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	9	843.152436	92.458354	0.6898701154327392	0.82356	1.4563355089187622	0.6592	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	10	935.611702	92.4219	0.6782730895996094	0.82926	0.9785753789901733	0.7546	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	11	1028.034511	92.380407	0.6688590741539001	0.83286	1.342327339553833	0.6807	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	12	1120.416588	92.407326	0.6530197383499146	0.83844	0.8241500190734863	0.79	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	13	1212.824828	92.439515	0.6445456554794311	0.8414	0.896062341594696	0.7734	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.662944	50000	10000	1.0	20180309:082831	20180309:085149	14	1305.26654	92.578023	0.6340370827674866	0.84512	0.9613790627479554	0.7593	num_classes=10,version=1,batch_size=32,data_augmentation=True,n=3,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	0	4.378303	101.026371	1.5222257247161866	0.4937	1.7932364093780517	0.495	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	1	105.405666	98.296345	1.124007967453003	0.6471	1.2658831411361695	0.6326	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
taurusi2083	resnet32v1	cifar10	4.664882	50000	10000	1.0	20180309:082832	20180309:085314	2	203.702995	98.290683	0.9696896142196655	0.7106	1.2454017053604125	0.6437	n=3,checkpoint_epochs=False,batch_size=32,num_classes=10,version=1,data_augmentation=True,subtract_pixel_mean=True,epochs=15	k80:1,fs:nfs:singularity:nfs
