host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	n_model_params	versions	comment
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	0	12.326791	127.6516	1.9313449148178101	0.42966000003814697	2.4038270153045653	0.374	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	1	139.979595	123.712995	1.4760640813446044	0.5841199999809266	1.93342543258667	0.4994	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	2	263.694775	123.620529	1.2926772799301147	0.6488000000190735	1.9677150808334352	0.4781	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	3	387.31817	123.744049	1.139418104057312	0.7014200000762939	1.7827867153167725	0.5502	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	4	511.063407	123.680609	1.0333768367004394	0.7376999999809265	1.1351019136428833	0.7122	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	5	634.74622	123.685556	0.9634650692367553	0.76174	1.522855853843689	0.617	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	6	758.434648	123.677432	0.9064716597557068	0.7786000000190735	1.0346126598358154	0.7458	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	7	882.11328	123.590265	0.8541244870567322	0.793659999961853	1.122409776687622	0.7289	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	8	1005.705883	123.666367	0.8177878050994873	0.8045200000572205	1.4154290647506713	0.651	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2063	resnet56v1	cifar10	2.250273	50000	10000	1.	20180327:152636	20180327:155747	9	1129.373437	123.708625	0.7811064423751831	0.8153200000953674	1.2961203243255615	0.6588	subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,data_augmentation=True,batch_size=256,num_classes=10,version=1,epochs=15,checkpoint_epochs=False,n=9	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
