host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	n_model_params	versions	comment
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	0	3.569339	231.596964	1.809115715560913	0.45984	2.0216723421096803	0.4766	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	1	235.167615	229.962308	1.3396778336334227	0.63036	1.907881128692627	0.5107	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	2	465.132898	230.036201	1.1364181598472596	0.69914	1.1911534158706665	0.6828	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	3	695.171528	229.91482	1.0280474415206908	0.73604	1.743317036819458	0.5796	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	4	925.087614	230.255411	0.9501127435111999	0.76092	1.456131548500061	0.648	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	5	1155.346016	230.090495	0.9032715435218811	0.7765	0.9030363975524902	0.7787	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	6	1385.437807	230.053716	0.8573871481132508	0.79072	1.0341268352508546	0.7438	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	7	1615.494487	230.286047	0.8324154800987243	0.80154	0.882496569442749	0.7884	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	8	1845.783493	230.232985	0.8013426465988159	0.80986	1.0359303211212159	0.7433	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2072	resnet56v1	cifar10	3.11713	50000	10000	1.	20180327:141613	20180327:151351	9	2076.017936	230.259508	0.7800274335098266	0.81846	1.1207186658859254	0.72	epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,batch_size=32,num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,version=1,n=9	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
