host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	n_model_params	versions	comment
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	0	12.204048	239.194678	1.7832766052627564	0.4742	2.0461089862823485	0.4554	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	1	251.400906	237.597071	1.311374428024292	0.64162	1.512873392868042	0.6183	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	2	488.99932	236.479906	1.1315943453025818	0.70124	1.224841651058197	0.6725	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	3	725.481429	235.769767	1.031262182674408	0.73186	1.3326321117401123	0.6667	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	4	961.253402	235.656411	0.9622187657165527	0.75666	0.9980566507339478	0.7501	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	5	1196.912015	235.505408	0.9137818444824218	0.77416	0.9923380939483643	0.7469	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	6	1432.41869	236.249806	0.8773532445907593	0.78532	1.1647774768829346	0.7116	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	7	1668.670594	237.436841	0.8359607959365845	0.79914	1.0823663440704345	0.7225	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	8	1906.108679	235.280567	0.8128833302307129	0.80678	1.2160519889831543	0.6855	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	9	2141.390548	235.268915	0.7901491844558716	0.81296	1.4944987771987914	0.629	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2106	resnet56v1	cifar10	2.311403	50000	10000	1.	20180326:205111	20180326:215027	10	2376.661548	235.4197	0.7686076380348206	0.81938	1.032777048110962	0.7552	checkpoint_epochs=False,n=9,epochs=15,data_augmentation=True,scratchspace=/home/steinba/development/deeprace,batch_size=32,num_classes=10,subtract_pixel_mean=True,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
