host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	opts	n_model_params	versions	comment
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	0	12.720148	241.799324	1.7949005673217773	0.46984	1.8992264505386351	0.4924	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	1	254.522399	237.952537	1.3279318798828126	0.63954	1.7123325979232789	0.5837	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	2	492.476279	237.942264	1.1458292083358765	0.69936	1.5729776839256286	0.5847	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	3	730.421525	238.066059	1.0393902313804626	0.73474	1.8862086740493775	0.5455	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	4	968.490512	238.075073	0.96499721950531	0.75644	1.2605748598098754	0.6772	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	5	1206.568512	238.09875	0.9098319372749328	0.77638	1.6827073629379272	0.587	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	6	1444.670189	238.108309	0.8678771383094788	0.78878	0.8705706533432007	0.787	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	7	1682.781396	238.149356	0.8332644440460205	0.80184	1.1019797461509704	0.7288	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	8	1920.93287	238.257158	0.8076338301277161	0.8102	1.1566769180297851	0.7349	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	9	2159.192968	238.104224	0.7841035586738586	0.81572	0.9092637947082519	0.7829	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	10	2397.300098	238.957119	0.7606974294090271	0.82372	1.1761426515579223	0.7197	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
taurusi2069	resnet56v1	cifar10	2.524121	50000	10000	1.	20180326:204205	20180326:214154	11	2636.26012	238.160321	0.7458201958274842	0.82926	1.1722628783226012	0.7177	data_augmentation=True,num_classes=10,epochs=15,version=1,batch_size=32,n=9,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:nfs
