host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	top_k_catacc	val_top_k_catacc	opts	n_model_params	versions	comment
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	0	3.925467	145.803825	1.8893491440963746	0.4415400000190735	2.048328024291992	0.4305	0.89786	0.8957	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	1	149.730524	143.917803	1.4275774547576905	0.601580000076294	1.7191455684661865	0.5384	0.9562599999427795	0.931	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	2	293.651333	144.103623	1.1934035937881469	0.6831800000381469	1.4978067554473877	0.5983	0.9731000000190735	0.9634	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	3	437.756193	143.967122	1.052009062538147	0.728699999923706	1.2554790684700012	0.682	0.980699999961853	0.9595	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	4	581.724556	144.138789	0.9674570612335205	0.7590199999427796	1.0828895099639892	0.7176	0.98448	0.9779	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	5	725.864584	144.120324	0.9019353769493103	0.777620000038147	1.4207622716903687	0.6452	0.98684	0.9713	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	6	869.987347	143.979345	0.8471320088577271	0.793539999961853	1.2096933225631714	0.6855	0.98908	0.9701	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	7	1013.969712	144.102735	0.8097893231582641	0.8056600000953674	1.3191279483795166	0.6728	0.9900999999427795	0.9756	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	8	1158.073674	144.030386	0.7713248636817932	0.81532	0.9601535081863404	0.7504	0.9912000000190735	0.9855	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2070	resnet56v1	cifar10	4.549143	50000	10000	1.	20180413:205721	20180413:213327	9	1302.107078	144.011466	0.7449415746307373	0.825960000038147	0.9221834266662597	0.7734	0.9917	0.9823	num_classes=10,data_augmentation=True,scratchspace=/home/h2/steinba/development/deeprace,n=9,checkpoint_epochs=False,n_gpus=1,epochs=15,subtract_pixel_mean=True,version=1,batch_size=128	861770	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
