host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	top_k_catacc	val_top_k_catacc	opts	n_model_params	versions	comment
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	0	11.869677	230.796006	1.844357674407959	0.44536	2.08055583820343	0.4134	0.90388	0.9006	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	1	242.666903	226.298392	1.3468515641021728	0.61086	2.014097428703308	0.5361	0.96068	0.9096	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	2	468.966512	226.344021	1.1360176807403564	0.68512	1.2386976864814758	0.6605	0.97364	0.9672	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	3	695.31344	225.982054	1.023557092151642	0.72428	1.1299646463394164	0.7072	0.97904	0.971	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	4	921.29677	226.151178	0.9485088887405395	0.75042	1.0469016545295715	0.7222	0.98226	0.9846	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	5	1147.450058	226.148303	0.8959337839508057	0.7692	0.9753277845382691	0.7481	0.9857	0.9827	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	6	1373.600455	226.057028	0.8527945609664916	0.78602	1.3459084072113037	0.6558	0.98666	0.9581	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	7	1599.65959	226.329267	0.8197224799919128	0.79594	0.8995375494003296	0.7758	0.98828	0.9823	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	8	1825.990981	226.145934	0.7920518929100037	0.80484	1.3324167493820191	0.6712	0.98968	0.9812	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	9	2052.13915	226.282608	0.7689462643432617	0.81528	1.1197627137184143	0.7118	0.99018	0.9725	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	10	2278.424486	226.070805	0.7473809402656555	0.8238	0.90299440574646	0.7676	0.99002	0.9867	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	11	2504.496507	226.419097	0.7291287885093689	0.82742	0.9555560461044311	0.7596	0.99128	0.9837	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	12	2730.91682	227.590197	0.712874222202301	0.83348	0.7946325435638427	0.8125	0.99198	0.9869	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	13	2958.508236	226.147415	0.6961163672065734	0.8407	1.156479405593872	0.7225	0.99228	0.9746	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2049	resnet56v1	cifar10	2.306873	50000	10000	1.	20180413:194258	20180413:203948	14	3184.656873	225.968489	0.6880890919685364	0.84398	0.7812760443687439	0.8165	0.99242	0.989	n_gpus=1,num_classes=10,subtract_pixel_mean=True,version=1,epochs=15,scratchspace=/home/steinba/development/deeprace,n=9,data_augmentation=True,batch_size=32,checkpoint_epochs=False	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	0	11.981688	239.477692	1.9980755030822754	0.39698	1.7775548179626466	0.4622	0.88262	0.918	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	1	251.462346	235.437911	1.4193367457580566	0.57472	1.7119348850250244	0.4755	0.95198	0.9287	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	2	486.903187	235.655387	1.172236109905243	0.66356	1.283750992012024	0.6377	0.97014	0.9647	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	3	722.561504	235.6079	1.0466930262374878	0.70908	1.1249319633483887	0.691	0.97746	0.9698	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	4	958.172377	235.496109	0.9687341710662842	0.73816	1.0964585675239562	0.7005	0.98124	0.9797	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	5	1193.671438	235.568169	0.9039657958984375	0.7614	1.1463946783065795	0.6941	0.98376	0.9758	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	6	1429.242589	236.027199	0.8643274809837341	0.77716	1.017855882358551	0.7244	0.98642	0.9799	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	7	1665.272733	235.786044	0.8241761108779907	0.79226	0.992410237121582	0.7507	0.98742	0.9734	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	8	1901.061746	236.008878	0.7954787222671509	0.802	0.940782179069519	0.7624	0.98834	0.9834	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
taurusi2076	resnet56v1	cifar10	2.277999	50000	10000	1.	20180413:193658	20180413:203610	9	2137.073535	235.777391	0.7711630312347412	0.81026	0.8917832703113556	0.7732	0.99026	0.9814	n_gpus=1,num_classes=10,batch_size=32,data_augmentation=True,n=9,scratchspace=/home/steinba/development/deeprace,epochs=15,subtract_pixel_mean=True,checkpoint_epochs=False,version=1	861770	keras:2.1.5,backend:tensorflow:1.3.0	k80:1,fs:nfs,singularity:lustre
