host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	top_k_catacc	val_top_k_catacc	opts	n_model_params	versions	comment
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	0	2.352906	147.599992	1.6235878831100463	0.47932	1.6251111923217774	0.5021	0.918	0.9311	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	1	149.954694	146.342722	1.21236327129364	0.63814	1.2964788166046142	0.6173	0.96452	0.962	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	2	296.299034	146.126939	1.0533311521911621	0.7006	1.0936424460411072	0.6887	0.97536	0.9766	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	3	442.427748	146.137786	0.9603752041053772	0.73582	0.9539484942436218	0.7358	0.9808	0.9816	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	4	588.567304	146.214796	0.8934674566268921	0.76094	1.304787978744507	0.6732	0.98468	0.9503	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	5	734.783956	146.293969	0.8538234561347962	0.77572	0.8905782980918884	0.7697	0.98604	0.9847	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	6	881.079605	146.276122	0.8176109648513794	0.79002	0.948742392539978	0.7512	0.98752	0.9841	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	7	1027.357424	146.301285	0.7877893636703491	0.80178	0.8687137491226197	0.7786	0.98846	0.9876	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	8	1173.660324	146.318412	0.7627789395523071	0.80876	1.1887907764434815	0.7052	0.99002	0.9686	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
taurusi2076	resnet32v1	cifar10	5.49436	50000	10000	1.	20180413:204235	20180413:211918	9	1319.980364	146.375178	0.7429956976509094	0.81782	0.9094386410713196	0.7693	0.99032	0.978	n_gpus=1,checkpoint_epochs=False,subtract_pixel_mean=True,batch_size=32,num_classes=10,epochs=15,scratchspace=/home/h2/steinba/development/deeprace,n=5,version=1,data_augmentation=True	470218	keras:2.1.4,backend:tensorflow:1.3.0	k80:1,fs:nfs
