host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	loss	acc	val_loss	val_acc	top_k_catacc	val_top_k_catacc	opts	n_model_params	versions	comment
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	0	5.315654	336.673532	1.8220700042343139	0.4557	1.6212713212966918	0.54	0.90766	0.9394	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	1	341.991171	328.829842	1.3766229889678956	0.61804	1.7389729909896852	0.5498	0.96106	0.9245	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	2	670.822805	329.006733	1.1782636585235595	0.6864	1.4962191530227662	0.6076	0.97312	0.9488	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	3	999.831516	329.215773	1.0517939142227173	0.731	1.2483020805358886	0.6569	0.97904	0.9693	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	4	1329.049625	328.938622	0.9806407769012451	0.75182	1.0901721261024475	0.7136	0.98314	0.9782	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	5	1657.990388	328.848548	0.9209847422409058	0.76708	1.4623536586761474	0.6284	0.98462	0.9521	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	6	1986.841104	328.727247	0.8713628833961486	0.78618	1.2216902086257935	0.6786	0.98732	0.9801	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	7	2315.57048	328.870137	0.8363728803062439	0.7967	1.1095988293647767	0.6953	0.98824	0.9803	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	8	2644.442063	329.026072	0.7988634466934205	0.80836	1.0455943789482116	0.7382	0.98988	0.971	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	9	2973.470371	328.941062	0.7768358237075805	0.81538	1.1469853761672975	0.7353	0.99018	0.9626	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	10	3302.413337	328.963997	0.7538521513366699	0.82468	1.2519286843299866	0.7057	0.99078	0.9722	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	11	3631.379398	329.047079	0.7303984957504273	0.83136	1.2056362482070924	0.7074	0.99196	0.9682	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	12	3960.42869	329.489214	0.7137130697441101	0.83548	0.9466252096176148	0.7731	0.99192	0.9861	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
taurusi2097	resnet56v1	cifar10	2.59839	50000	10000	1.	20180417:023151	20180417:035419	13	4289.919968	328.668278	0.7001911343002319	0.84082	1.4388939739227296	0.6401	0.99296	0.9763	n_gpus=2,n=9,scratchspace=/home/steinba/development/deeprace,checkpoint_epochs=False,subtract_pixel_mean=True,version=1,data_augmentation=True,epochs=15,num_classes=10,batch_size=64	861770	keras:2.1.5,backend:tensorflow:1.5.0	k80:2,fs:nfs,singularity:lustre
