host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	comment
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	0	5.554435	49.47439193725586	0.8828125	0.57244647	0.7537	1.0828508	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	1	61.323918	49.02659034729004	0.92578125	0.4909495	0.7178	1.1966996	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	2	3.185953	50.54324245452881	0.90234375	0.5227269	0.7471	1.0841719	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	3	53.331131	50.180819034576416	0.8828125	0.5659003	0.6955	1.2720234	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	4	3.159857	49.57473826408386	0.89453125	0.54713595	0.7155	1.2302312	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	5	55.715918	50.37690782546997	0.9453125	0.43343246	0.7029	1.2458403	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	6	3.194993	50.51781105995178	0.89453125	0.56629056	0.603	2.2745688	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	7	54.492541	49.725200176239014	0.90234375	0.5515087	0.7443	1.1358083	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	8	3.199738	49.32577586174011	0.91796875	0.5112165	0.5615	2.2348638	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet32v1	cifar10	3.247916	50000.0	10000.0	1.	20180420:170112	20180420:170211	9	3.182862	44.43204617500305	0.87890625	0.62377536	0.7046	1.2067225	n_gpus=1,batch_size=256,n=5,checkpoint_epochs=False,version=1,data_augmentation=True,epochs=15,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,backend=tf,num_classes=10	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
