host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	comment
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	0	5.183114	105.54896855354309	0.15625	2.6978111	0.3456	3.2037175	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	1	111.889849	105.81523013114929	0.46875	1.818699	0.4642	2.1142263	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	2	5.32198	105.85146641731262	0.78125	0.9847423	0.4555	2.007268	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	3	112.323651	105.90202903747559	0.71875	1.2873755	0.5689	1.654606	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	4	5.269354	105.78821110725403	0.65625	1.1756094	0.752	1.0203971	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	5	112.320363	105.83277177810669	0.6875	1.1153754	0.6815	1.2394282	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	6	5.311807	105.81406283378601	0.75	0.98889065	0.6839	1.2412487	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	7	112.388503	105.95006203651428	0.84375	0.8226677	0.741	1.0444436	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	8	5.417467	105.18118810653687	0.6875	1.0873848	0.7019	1.2210158	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	9	112.389211	105.73030829429626	0.78125	0.8182723	0.6615	1.3273346	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	10	5.298382	106.08415102958679	0.90625	0.84015006	0.7492	0.98973936	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	11	112.316146	105.52822589874268	0.875	0.5757762	0.7674	0.9942348	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	12	5.279221	105.62872290611267	0.8125	0.7592298	0.8068	0.84522283	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2093	resnet56v1	cifar10	3.168413	50000.0	10000.0	1.	20180421:010021	20180421:010224	13	112.237641	105.51365160942078	0.8125	0.764555	0.7993	0.8531629	backend=tf,n=9,num_classes=10,batch_size=32,subtract_pixel_mean=True,scratchspace=/home/steinba/development/deeprace,epochs=15,data_augmentation=True,version=1,checkpoint_epochs=False,n_gpus=1	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
taurusi2099	resnet56v1	cifar10	3.162792	50000.0	10000.0	1.	20180421:004942	20180421:005141	0	4.78027	101.35058426856995	0.0625	2.7675533	0.3848	2.5682607	n=9,num_classes=10,data_augmentation=True,backend=tf,version=1,batch_size=32,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,n_gpus=1,checkpoint_epochs=False,epochs=15	None	unknown:0.0	k80:1,fs:nfs,singularity:lustre
