host	model	dataset	load_dur_sec	ntrain	ntest	datafraction	train_start	train_end	epoch	rel_epoch_start_sec	epoch_dur_sec	acc	loss	val_acc	val_loss	opts	n_model_params	versions	comment
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	0	7.404279	134.30997157096863	0.1875	2.689888	0.255008	3.78768	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	1	147.407571	135.9676535129547	0.375	1.8484203	0.54296875	1.741063	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	2	6.98547	136.60244154930115	0.71875	1.2189261	0.6255008	1.4785146	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	3	144.439459	136.07670664787292	0.8125	0.8640263	0.6635617	1.2754623	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	4	7.113327	136.29888916015625	0.78125	1.0203384	0.70122194	1.2138531	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	5	145.235303	136.63869428634644	0.625	1.3054215	0.61959136	1.4939079	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	6	7.136963	135.22077775001526	0.8125	0.80501056	0.69090545	1.3041056	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	7	144.716927	136.25677156448364	0.90625	0.7601712	0.7285657	1.083782	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	8	7.045787	136.63894319534302	0.75	1.0456642	0.7395833	1.0627688	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	9	144.896953	136.48106694221497	0.71875	0.8310414	0.8003806	0.85015017	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	10	7.034833	136.04419684410095	0.96875	0.5167817	0.7456931	1.0623475	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	11	145.270814	136.02237224578857	0.9375	0.5514133	0.76692706	0.97696	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
taurusi2059	resnet56v1	cifar10	3.175241	50000.0	10000.0	1.	20180423:162751	20180423:163036	12	7.005907	137.18479132652283	0.84375	0.77597195	0.7692308	0.9357334	n=9,scratchspace=/home/steinba/development/deeprace,subtract_pixel_mean=True,num_classes=10,version=1,checkpoint_epochs=False,data_augmentation=True,n_gpus=2,backend=tf,batch_size=64,epochs=15	None	tensorflow:1.7.0	k80:2,fs:nfs,singularity:lustre
